"No.","Time","Source","Destination","Protocol","Length","Info"
"233","0.028230","192.168.3.5","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"235","0.000019","192.168.1.2","33.33.33.33","UDP","62","6688  >  65333 Len=1500"
"236","0.022007","192.168.3.5","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"238","0.000019","192.168.1.2","33.33.33.33","UDP","62","6688  >  65334 Len=1500"
"239","0.027726","192.168.3.5","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"241","0.000019","192.168.1.2","33.33.33.33","UDP","62","6688  >  65335 Len=1500"
"242","0.068139","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"244","0.000019","192.168.1.2","33.33.33.33","UDP","62","6688  >  65336 Len=1500"
"245","0.096533","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"247","0.000016","192.168.1.2","33.33.33.33","UDP","62","6688  >  65337 Len=1500"
"248","0.066119","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"254","0.000034","192.168.1.2","33.33.33.33","UDP","62","4038  >  65323 Len=1500"
"255","0.006962","192.168.1.1","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"257","0.000022","192.168.1.2","33.33.33.33","UDP","62","4038  >  65324 Len=1500"
"258","0.005960","192.168.1.1","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"260","0.000022","192.168.1.2","33.33.33.33","UDP","62","4038  >  65325 Len=1500"
"261","0.003583","192.168.1.1","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"263","0.000023","192.168.1.2","33.33.33.33","UDP","62","4038  >  65326 Len=1500"
"264","0.030050","172.14.1.2","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"266","0.000019","192.168.1.2","33.33.33.33","UDP","62","4038  >  65327 Len=1500"
"267","0.027838","172.14.1.2","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"269","0.000018","192.168.1.2","33.33.33.33","UDP","62","4038  >  65328 Len=1500"
"270","0.034714","172.14.1.2","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"272","0.000016","192.168.1.2","33.33.33.33","UDP","62","4038  >  65329 Len=1500"
"273","0.028277","172.5.1.1","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"275","0.000017","192.168.1.2","33.33.33.33","UDP","62","4038  >  65330 Len=1500"
"276","0.028030","172.30.1.1","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"278","0.000021","192.168.1.2","33.33.33.33","UDP","62","4038  >  65331 Len=1500"
"279","0.030211","172.5.1.1","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"281","0.000039","192.168.1.2","33.33.33.33","UDP","62","4038  >  65332 Len=1500"
"282","0.035887","192.168.3.5","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"284","0.000015","192.168.1.2","33.33.33.33","UDP","62","4038  >  65333 Len=1500"
"285","0.029608","192.168.3.5","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"287","0.000016","192.168.1.2","33.33.33.33","UDP","62","4038  >  65334 Len=1500"
"288","0.029128","192.168.3.5","192.168.1.2","ICMP","590","Time-to-live exceeded (Time to live exceeded in transit)"
"290","0.000016","192.168.1.2","33.33.33.33","UDP","62","4038  >  65335 Len=1500"
"291","0.051652","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"293","0.000015","192.168.1.2","33.33.33.33","UDP","62","4038  >  65336 Len=1500"
"294","0.057902","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"296","0.000025","192.168.1.2","33.33.33.33","UDP","62","4038  >  65337 Len=1500"
"297","0.046245","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
